run_id,iou,acc,final_loss,cam_method,cam_thresh,cam_thresh_bg,alpha,crf_compat,learning_rate,keep_largest,apply_crf,combo_id,iou_mean,iou_std,acc_mean,acc_std,loss_mean,loss_std
abl_011_r0,0.25354036287691600,0.7705672543956240,5.41752290725708,LayerCAM,0.6,0.5,1.9,10,1E-05,FALSE,FALSE,,,,,,,
abl_011_r1,0.2650271729632780,0.7761490835985880,5.802965059876440,LayerCAM,0.6,0.5,1.9,10,1E-05,FALSE,FALSE,,,,,,,
abl_011_r2,0.3496526032437750,0.7948411995879720,6.581389516592030,LayerCAM,0.6,0.5,1.9,10,1E-05,FALSE,FALSE,,,,,,,
,,,,LayerCAM,0.6,0.5,1.9,10,1E-05,<function keep_largest at 0x79ac08f6e840>,FALSE,11.0,0.2894067130279900,0.0524896386671634,0.780519179194061,0.012713355396411100,5.933959161241850,0.5928878157169400
abl_012_r0,0.005384991373622580,0.7045847295633320,4.938162237405780,LayerCAM,0.7,0.5,1.9,10,0.001,FALSE,FALSE,,,,,,,
abl_012_r1,0.006304940144416270,0.7046639546430810,4.906315095722680,LayerCAM,0.7,0.5,1.9,10,0.001,FALSE,FALSE,,,,,,,
abl_012_r2,0.03523943766800810,0.7123487873788120,4.275956429541110,LayerCAM,0.7,0.5,1.9,10,0.001,FALSE,FALSE,,,,,,,
,,,,LayerCAM,0.7,0.5,1.9,10,0.001,<function keep_largest at 0x79ac08f6e840>,FALSE,12.0,0.015643123062015600,0.016977138629286,0.7071991571950750,0.004459886481207420,4.7068112542231900,0.373470842332053
abl_013_r0,0.3488308085717210,0.7958537813888870,1.8200147412717300,LayerCAM,0.7,0.5,1.9,10,0.0001,FALSE,FALSE,,,,,,,
abl_013_r1,0.3197690350766460,0.788057729351962,2.0370896011591000,LayerCAM,0.7,0.5,1.9,10,0.0001,FALSE,FALSE,,,,,,,
abl_013_r2,0.2527071928409200,0.768572096919306,1.9618572443723700,LayerCAM,0.7,0.5,1.9,10,0.0001,FALSE,FALSE,,,,,,,
,,,,LayerCAM,0.7,0.5,1.9,10,0.0001,<function keep_largest at 0x79ac08f6e840>,FALSE,13.0,0.30710234549642900,0.04929778031495810,0.7841612025533850,0.014052037848421200,1.9396538622677300,0.11022756611412000
abl_014_r0,0.21731640233508200,0.7601778507166350,6.588251367211340,LayerCAM,0.7,0.5,1.9,10,1E-05,FALSE,FALSE,,,,,,,
abl_014_r1,0.18268060530604400,0.754679928939584,5.701628670096400,LayerCAM,0.7,0.5,1.9,10,1E-05,FALSE,FALSE,,,,,,,
abl_014_r2,0.24539162837758500,0.768629371464448,6.2243991792202,LayerCAM,0.7,0.5,1.9,10,1E-05,FALSE,FALSE,,,,,,,
,,,,LayerCAM,0.7,0.5,1.9,10,1E-05,<function keep_largest at 0x79ac08f6e840>,FALSE,14.0,0.2151295453395710,0.031412654477279200,0.761162383706889,0.007026643266545880,6.171426405509310,0.44567873835960900
